County,Office,Candidate,Party,District,Votes
Daviess,Auditor of State,Barbara Huston,Democratic,Statewide,2188
Decatur,Auditor of State,Barbara Huston,Democratic,Statewide,2127
DeKalb,Auditor of State,Barbara Huston,Democratic,Statewide,2518
Adams,Auditor of State,Barbara Huston,Democratic,Statewide,3254
Benton,Auditor of State,Barbara Huston,Democratic,Statewide,967
Clay,Auditor of State,Barbara Huston,Democratic,Statewide,2828
Clinton,Auditor of State,Barbara Huston,Democratic,Statewide,2474
Crawford,Auditor of State,Barbara Huston,Democratic,Statewide,1658
Allen,Auditor of State,Barbara Huston,Democratic,Statewide,20739
Clark,Auditor of State,Barbara Huston,Democratic,Statewide,11534
Dubois,Auditor of State,Barbara Huston,Democratic,Statewide,3702
Brown,Auditor of State,Barbara Huston,Democratic,Statewide,2075
Dearborn,Auditor of State,Barbara Huston,Democratic,Statewide,3390
Delaware,Auditor of State,Barbara Huston,Democratic,Statewide,14305
Elkhart,Auditor of State,Barbara Huston,Democratic,Statewide,10356
Allen,Auditor of State,Bruce A. Parisi,Libertarian,Statewide,2624
Bartholomew,Auditor of State,Bruce A. Parisi,Libertarian,Statewide,597
Benton,Auditor of State,Bruce A. Parisi,Libertarian,Statewide,138
Cass,Auditor of State,Bruce A. Parisi,Libertarian,Statewide,347
Clark,Auditor of State,Bruce A. Parisi,Libertarian,Statewide,611
Boone,Auditor of State,Bruce A. Parisi,Libertarian,Statewide,391
Carroll,Auditor of State,Bruce A. Parisi,Libertarian,Statewide,224
Clay,Auditor of State,Bruce A. Parisi,Libertarian,Statewide,219
Crawford,Auditor of State,Bruce A. Parisi,Libertarian,Statewide,111
Daviess,Auditor of State,Bruce A. Parisi,Libertarian,Statewide,221
Blackford,Auditor of State,Bruce A. Parisi,Libertarian,Statewide,147
Brown,Auditor of State,Bruce A. Parisi,Libertarian,Statewide,270
Decatur,Auditor of State,Bruce A. Parisi,Libertarian,Statewide,230
DeKalb,Auditor of State,Bruce A. Parisi,Libertarian,Statewide,264
Delaware,Auditor of State,Bruce A. Parisi,Libertarian,Statewide,1263
Dubois,Auditor of State,Bruce A. Parisi,Libertarian,Statewide,140
Adams,Auditor of State,Bruce A. Parisi,Libertarian,Statewide,235
Clinton,Auditor of State,Bruce A. Parisi,Libertarian,Statewide,295
Dearborn,Auditor of State,Bruce A. Parisi,Libertarian,Statewide,329
Elkhart,Auditor of State,Bruce A. Parisi,Libertarian,Statewide,1278
Adams,Auditor of State,Connie K. Nass,Republican,Statewide,5695
Benton,Auditor of State,Connie K. Nass,Republican,Statewide,1813
Clay,Auditor of State,Connie K. Nass,Republican,Statewide,4154
Crawford,Auditor of State,Connie K. Nass,Republican,Statewide,1531
Bartholomew,Auditor of State,Connie K. Nass,Republican,Statewide,11348
Blackford,Auditor of State,Connie K. Nass,Republican,Statewide,1976
Brown,Auditor of State,Connie K. Nass,Republican,Statewide,2974
Carroll,Auditor of State,Connie K. Nass,Republican,Statewide,3975
Cass,Auditor of State,Connie K. Nass,Republican,Statewide,6759
Daviess,Auditor of State,Connie K. Nass,Republican,Statewide,4944
Dubois,Auditor of State,Connie K. Nass,Republican,Statewide,6146
Boone,Auditor of State,Connie K. Nass,Republican,Statewide,8513
Dearborn,Auditor of State,Connie K. Nass,Republican,Statewide,5602
Decatur,Auditor of State,Connie K. Nass,Republican,Statewide,4374
Delaware,Auditor of State,Connie K. Nass,Republican,Statewide,16022
Elkhart,Auditor of State,Connie K. Nass,Republican,Statewide,26350
Allen,Auditor of State,Connie K. Nass,Republican,Statewide,41772
Clark,Auditor of State,Connie K. Nass,Republican,Statewide,11003
Clinton,Auditor of State,Connie K. Nass,Republican,Statewide,4938
DeKalb,Auditor of State,Connie K. Nass,Republican,Statewide,5584
Bartholomew,Treasurer of State,Day Smith,Democratic,Statewide,5506
Benton,Treasurer of State,Day Smith,Democratic,Statewide,789
Blackford,Treasurer of State,Day Smith,Democratic,Statewide,1482
Cass,Treasurer of State,Day Smith,Democratic,Statewide,3489
Clark,Treasurer of State,Day Smith,Democratic,Statewide,11518
Decatur,Treasurer of State,Day Smith,Democratic,Statewide,2055
Brown,Treasurer of State,Day Smith,Democratic,Statewide,2024
Delaware,Treasurer of State,Day Smith,Democratic,Statewide,13527
Dubois,Treasurer of State,Day Smith,Democratic,Statewide,4249
Adams,Treasurer of State,Day Smith,Democratic,Statewide,2917
Boone,Treasurer of State,Day Smith,Democratic,Statewide,2057
Carroll,Treasurer of State,Day Smith,Democratic,Statewide,1932
Clay,Treasurer of State,Day Smith,Democratic,Statewide,2600
Crawford,Treasurer of State,Day Smith,Democratic,Statewide,1658
Daviess,Treasurer of State,Day Smith,Democratic,Statewide,2137
DeKalb,Treasurer of State,Day Smith,Democratic,Statewide,2345
Allen,Treasurer of State,Day Smith,Democratic,Statewide,16944
Clinton,Treasurer of State,Day Smith,Democratic,Statewide,2292
Dearborn,Treasurer of State,Day Smith,Democratic,Statewide,3304
Elkhart,Treasurer of State,Day Smith,Democratic,Statewide,9564
Bartholomew,Treasurer of State,Sam Goldstein,Libertarian,Statewide,830
Brown,Treasurer of State,Sam Goldstein,Libertarian,Statewide,362
Carroll,Treasurer of State,Sam Goldstein,Libertarian,Statewide,350
Cass,Treasurer of State,Sam Goldstein,Libertarian,Statewide,401
Daviess,Treasurer of State,Sam Goldstein,Libertarian,Statewide,407
Decatur,Treasurer of State,Sam Goldstein,Libertarian,Statewide,377
Dubois,Treasurer of State,Sam Goldstein,Libertarian,Statewide,246
Blackford,Treasurer of State,Sam Goldstein,Libertarian,Statewide,222
Clark,Treasurer of State,Sam Goldstein,Libertarian,Statewide,789
Allen,Treasurer of State,Sam Goldstein,Libertarian,Statewide,2531
Benton,Treasurer of State,Sam Goldstein,Libertarian,Statewide,249
Crawford,Treasurer of State,Sam Goldstein,Libertarian,Statewide,156
Adams,Treasurer of State,Sam Goldstein,Libertarian,Statewide,379
Boone,Treasurer of State,Sam Goldstein,Libertarian,Statewide,448
Clay,Treasurer of State,Sam Goldstein,Libertarian,Statewide,343
Clinton,Treasurer of State,Sam Goldstein,Libertarian,Statewide,474
Dearborn,Treasurer of State,Sam Goldstein,Libertarian,Statewide,373
DeKalb,Treasurer of State,Sam Goldstein,Libertarian,Statewide,406
Delaware,Treasurer of State,Sam Goldstein,Libertarian,Statewide,1639
Elkhart,Treasurer of State,Sam Goldstein,Libertarian,Statewide,1577
Brown,Treasurer of State,Tim Berry,Republican,Statewide,2946
Carroll,Treasurer of State,Tim Berry,Republican,Statewide,3969
Crawford,Treasurer of State,Tim Berry,Republican,Statewide,1494
Daviess,Treasurer of State,Tim Berry,Republican,Statewide,4760
Dearborn,Treasurer of State,Tim Berry,Republican,Statewide,5909
Blackford,Treasurer of State,Tim Berry,Republican,Statewide,2005
Decatur,Treasurer of State,Tim Berry,Republican,Statewide,4294
DeKalb,Treasurer of State,Tim Berry,Republican,Statewide,5650
Delaware,Treasurer of State,Tim Berry,Republican,Statewide,16372
Dubois,Treasurer of State,Tim Berry,Republican,Statewide,4831
Allen,Treasurer of State,Tim Berry,Republican,Statewide,46540
Bartholomew,Treasurer of State,Tim Berry,Republican,Statewide,11160
Benton,Treasurer of State,Tim Berry,Republican,Statewide,1878
Cass,Treasurer of State,Tim Berry,Republican,Statewide,6753
Clark,Treasurer of State,Tim Berry,Republican,Statewide,10968
Adams,Treasurer of State,Tim Berry,Republican,Statewide,5871
Boone,Treasurer of State,Tim Berry,Republican,Statewide,8531
Clay,Treasurer of State,Tim Berry,Republican,Statewide,4252
Clinton,Treasurer of State,Tim Berry,Republican,Statewide,4941
Elkhart,Treasurer of State,Tim Berry,Republican,Statewide,26835
Allen,Clerk of the Supreme Court,Jon Bond,Democratic,Statewide,19129
Benton,Clerk of the Supreme Court,Jon Bond,Democratic,Statewide,829
Cass,Clerk of the Supreme Court,Jon Bond,Democratic,Statewide,3458
Dubois,Clerk of the Supreme Court,Jon Bond,Democratic,Statewide,4189
Boone,Clerk of the Supreme Court,Jon Bond,Democratic,Statewide,2067
Brown,Clerk of the Supreme Court,Jon Bond,Democratic,Statewide,2141
Dearborn,Clerk of the Supreme Court,Jon Bond,Democratic,Statewide,3238
Elkhart,Clerk of the Supreme Court,Jon Bond,Democratic,Statewide,9743
Bartholomew,Clerk of the Supreme Court,Jon Bond,Democratic,Statewide,5577
Blackford,Clerk of the Supreme Court,Jon Bond,Democratic,Statewide,1523
Carroll,Clerk of the Supreme Court,Jon Bond,Democratic,Statewide,1900
Daviess,Clerk of the Supreme Court,Jon Bond,Democratic,Statewide,2206
Decatur,Clerk of the Supreme Court,Jon Bond,Democratic,Statewide,2032
DeKalb,Clerk of the Supreme Court,Jon Bond,Democratic,Statewide,2424
Delaware,Clerk of the Supreme Court,Jon Bond,Democratic,Statewide,13770
Adams,Clerk of the Supreme Court,Jon Bond,Democratic,Statewide,3129
Clark,Clerk of the Supreme Court,Jon Bond,Democratic,Statewide,11379
Clay,Clerk of the Supreme Court,Jon Bond,Democratic,Statewide,2677
Clinton,Clerk of the Supreme Court,Jon Bond,Democratic,Statewide,2326
Crawford,Clerk of the Supreme Court,Jon Bond,Democratic,Statewide,1638
Adams,Clerk of the Supreme Court,Lisa L. Tennies,Libertarian,Statewide,433
Clark,Clerk of the Supreme Court,Lisa L. Tennies,Libertarian,Statewide,870
Clay,Clerk of the Supreme Court,Lisa L. Tennies,Libertarian,Statewide,316
Clinton,Clerk of the Supreme Court,Lisa L. Tennies,Libertarian,Statewide,337
Crawford,Clerk of the Supreme Court,Lisa L. Tennies,Libertarian,Statewide,167
Bartholomew,Clerk of the Supreme Court,Lisa L. Tennies,Libertarian,Statewide,644
Blackford,Clerk of the Supreme Court,Lisa L. Tennies,Libertarian,Statewide,174
Carroll,Clerk of the Supreme Court,Lisa L. Tennies,Libertarian,Statewide,339
Daviess,Clerk of the Supreme Court,Lisa L. Tennies,Libertarian,Statewide,285
Decatur,Clerk of the Supreme Court,Lisa L. Tennies,Libertarian,Statewide,339
DeKalb,Clerk of the Supreme Court,Lisa L. Tennies,Libertarian,Statewide,347
Delaware,Clerk of the Supreme Court,Lisa L. Tennies,Libertarian,Statewide,1597
Allen,Clerk of the Supreme Court,Lisa L. Tennies,Libertarian,Statewide,2631
Benton,Clerk of the Supreme Court,Lisa L. Tennies,Libertarian,Statewide,223
Cass,Clerk of the Supreme Court,Lisa L. Tennies,Libertarian,Statewide,381
Dubois,Clerk of the Supreme Court,Lisa L. Tennies,Libertarian,Statewide,197
Boone,Clerk of the Supreme Court,Lisa L. Tennies,Libertarian,Statewide,446
Brown,Clerk of the Supreme Court,Lisa L. Tennies,Libertarian,Statewide,335
Dearborn,Clerk of the Supreme Court,Lisa L. Tennies,Libertarian,Statewide,448
Elkhart,Clerk of the Supreme Court,Lisa L. Tennies,Libertarian,Statewide,1759
Bartholomew,Clerk of the Supreme Court,Brian  Bishop,Republican,Statewide,11232
Benton,Clerk of the Supreme Court,Brian  Bishop,Republican,Statewide,1822
Blackford,Clerk of the Supreme Court,Brian  Bishop,Republican,Statewide,1950
Clark,Clerk of the Supreme Court,Brian  Bishop,Republican,Statewide,10842
Decatur,Clerk of the Supreme Court,Brian  Bishop,Republican,Statewide,4341
Adams,Clerk of the Supreme Court,Brian  Bishop,Republican,Statewide,5569
Boone,Clerk of the Supreme Court,Brian  Bishop,Republican,Statewide,8446
Carroll,Clerk of the Supreme Court,Brian  Bishop,Republican,Statewide,3975
Clay,Clerk of the Supreme Court,Brian  Bishop,Republican,Statewide,4169
Clinton,Clerk of the Supreme Court,Brian  Bishop,Republican,Statewide,4958
Dearborn,Clerk of the Supreme Court,Brian  Bishop,Republican,Statewide,5881
DeKalb,Clerk of the Supreme Court,Brian  Bishop,Republican,Statewide,5501
Elkhart,Clerk of the Supreme Court,Brian  Bishop,Republican,Statewide,26124
Brown,Clerk of the Supreme Court,Brian  Bishop,Republican,Statewide,2866
Cass,Clerk of the Supreme Court,Brian  Bishop,Republican,Statewide,6638
Daviess,Clerk of the Supreme Court,Brian  Bishop,Republican,Statewide,4730
Delaware,Clerk of the Supreme Court,Brian  Bishop,Republican,Statewide,16135
Dubois,Clerk of the Supreme Court,Brian  Bishop,Republican,Statewide,4627
Allen,Clerk of the Supreme Court,Brian  Bishop,Republican,Statewide,42656
Crawford,Clerk of the Supreme Court,Brian  Bishop,Republican,Statewide,1468
Benton,United States Representative,Peter J. Visclosky,Democratic,District 1,1267
Benton,United States Representative,Timothy P. Brennan,Libertarian,District 1,151
Benton,United States Representative,Mark J. Leyva,Republican,District 1,1558
Cass,United States Representative,Jill Long Thompson,Democratic,District 2,3799
Elkhart,United States Representative,Jill Long Thompson,Democratic,District 2,6320
Carroll,United States Representative,Jill Long Thompson,Democratic,District 2,1980
Cass,United States Representative,Sharon Metheny,Libertarian,District 2,453
Elkhart,United States Representative,Sharon Metheny,Libertarian,District 2,627
Carroll,United States Representative,Sharon Metheny,Libertarian,District 2,225
Cass,United States Representative,Chris Chocola,Republican,District 2,7010
Carroll,United States Representative,Chris Chocola,Republican,District 2,4201
Elkhart,United States Representative,Chris Chocola,Republican,District 2,10330
Cass,United States Representative,James A. Mello,W/I (Independent),District 2,0
Elkhart,United States Representative,James A. Mello,W/I (Independent),District 2,1
Carroll,United States Representative,James A. Mello,W/I (Independent),District 2,0
Elkhart,United States Representative,M. Myer Blatt,W/I (Independent),District 2,0
Carroll,United States Representative,M. Myer Blatt,W/I (Independent),District 2,0
Cass,United States Representative,M. Myer Blatt,W/I (Independent),District 2,0
Elkhart,United States Representative,Jay Rigdon,Democratic,District 3,5046
DeKalb,United States Representative,Jay Rigdon,Democratic,District 3,3224
Allen,United States Representative,Jay Rigdon,Democratic,District 3,25182
Allen,United States Representative,Mike Donlan,Libertarian,District 3,1571
DeKalb,United States Representative,Mike Donlan,Libertarian,District 3,224
Elkhart,United States Representative,Mike Donlan,Libertarian,District 3,441
Allen,United States Representative,Mark E. Souder,Republican,District 3,38146
Elkhart,United States Representative,Mark E. Souder,Republican,District 3,16301
DeKalb,United States Representative,Mark E. Souder,Republican,District 3,5427
Clinton,United States Representative,Bill Abbott,Democratic,District 4,2430
Boone,United States Representative,Bill Abbott,Democratic,District 4,1996
Clinton,United States Representative,Jerry L. Susong,Libertarian,District 4,232
Boone,United States Representative,Jerry L. Susong,Libertarian,District 4,445
Boone,United States Representative,Steve Buyer,Republican,District 4,8750
Clinton,United States Representative,Steve Buyer,Republican,District 4,5383
Decatur,United States Representative,Melina (Mel) Fox,Democratic,District 6,2038
Delaware,United States Representative,Melina (Mel) Fox,Democratic,District 6,13724
Allen,United States Representative,Melina (Mel) Fox,Democratic,District 6,876
Dearborn,United States Representative,Melina (Mel) Fox,Democratic,District 6,695
Adams,United States Representative,Melina (Mel) Fox,Democratic,District 6,3041
Bartholomew,United States Representative,Melina (Mel) Fox,Democratic,District 6,2500
Blackford,United States Representative,Melina (Mel) Fox,Democratic,District 6,1496
Blackford,United States Representative,Doris Robertson,Libertarian,District 6,84
Decatur,United States Representative,Doris Robertson,Libertarian,District 6,140
Delaware,United States Representative,Doris Robertson,Libertarian,District 6,530
Adams,United States Representative,Doris Robertson,Libertarian,District 6,167
Dearborn,United States Representative,Doris Robertson,Libertarian,District 6,71
Allen,United States Representative,Doris Robertson,Libertarian,District 6,53
Bartholomew,United States Representative,Doris Robertson,Libertarian,District 6,168
Dearborn,United States Representative,Mike Pence,Republican,District 6,2214
Delaware,United States Representative,Mike Pence,Republican,District 6,18580
Adams,United States Representative,Mike Pence,Republican,District 6,6153
Allen,United States Representative,Mike Pence,Republican,District 6,1631
Bartholomew,United States Representative,Mike Pence,Republican,District 6,8032
Blackford,United States Representative,Mike Pence,Republican,District 6,2285
Decatur,United States Representative,Mike Pence,Republican,District 6,4836
Daviess,United States Representative,Bryan Hartke,Democratic,District 8,2288
Clay,United States Representative,Bryan Hartke,Democratic,District 8,2966
Clay,United States Representative,Pam Williams,Libertarian,District 8,232
Daviess,United States Representative,Pam Williams,Libertarian,District 8,140
Daviess,United States Representative,John N. Hostettler,Republican,District 8,5514
Clay,United States Representative,John N. Hostettler,Republican,District 8,4224
Dubois,United States Representative,Baron P. Hill,Democratic,District 9,5318
Brown,United States Representative,Baron P. Hill,Democratic,District 9,2542
Crawford,United States Representative,Baron P. Hill,Democratic,District 9,2113
Dearborn,United States Representative,Baron P. Hill,Democratic,District 9,3173
Bartholomew,United States Representative,Baron P. Hill,Democratic,District 9,3575
Clark,United States Representative,Baron P. Hill,Democratic,District 9,12783
Clark,United States Representative,Jeff Melton,Green,District 9,190
Crawford,United States Representative,Jeff Melton,Green,District 9,39
Dearborn,United States Representative,Jeff Melton,Green,District 9,60
Bartholomew,United States Representative,Jeff Melton,Green,District 9,60
Dubois,United States Representative,Jeff Melton,Green,District 9,50
Brown,United States Representative,Jeff Melton,Green,District 9,169
Bartholomew,United States Representative,Al Cox,Libertarian,District 9,148
Brown,United States Representative,Al Cox,Libertarian,District 9,141
Dubois,United States Representative,Al Cox,Libertarian,District 9,87
Clark,United States Representative,Al Cox,Libertarian,District 9,186
Crawford,United States Representative,Al Cox,Libertarian,District 9,59
Dearborn,United States Representative,Al Cox,Libertarian,District 9,105
Crawford,United States Representative,Mike Sodrel,Republican,District 9,1483
Dearborn,United States Representative,Mike Sodrel,Republican,District 9,3730
Bartholomew,United States Representative,Mike Sodrel,Republican,District 9,3922
Clark,United States Representative,Mike Sodrel,Republican,District 9,11800
Brown,United States Representative,Mike Sodrel,Republican,District 9,2708
Dubois,United States Representative,Mike Sodrel,Republican,District 9,4825
Benton,State Senator,Ryan Flynn,Libertarian,District 6,599
Benton,State Senator,Sue  Landske,Republican,District 6,2126
Elkhart,State Senator,Joe Zakas,Republican,District 11,7967
DeKalb,State Senator,Charles Bud Meeks,Republican,District 14,6697
Allen,State Senator,Charles Bud Meeks,Republican,District 14,13328
Allen,State Senator,Melvin Billingsley,Democratic,District 15,7771
Allen,State Senator,Thomas J. Wyss,Republican,District 15,15446
Allen,State Senator,Gary Dillon,Republican,District 17,905
Allen,State Senator,David (Dave) Jones,Democratic,District 19,588
Blackford,State Senator,David (Dave) Jones,Democratic,District 19,1163
Adams,State Senator,David (Dave) Jones,Democratic,District 19,3208
Allen,State Senator,David C. Ford,Republican,District 19,1054
Adams,State Senator,David C. Ford,Republican,District 19,6084
Blackford,State Senator,David C. Ford,Republican,District 19,2862
Boone,State Senator,Susan Maxson,Democratic,District 21,927
Boone,State Senator,David W. Gay Sr.,Libertarian,District 21,115
Boone,State Senator,Jeff Drozda,Republican,District 21,4007
Clinton,State Senator,Joseph W. Harrison,Republican,District 23,4138
Boone,State Senator,Joseph W. Harrison,Republican,District 23,5028
Delaware,State Senator,"Allie V. Craycraft, Jr.",Democratic,District 26,16722
Delaware,State Senator,Andrew S. Phipps,Republican,District 26,16078
Clay,State Senator,Phil Croft,Democratic,District 39,726
Daviess,State Senator,Phil Croft,Democratic,District 39,598
Daviess,State Senator,John M. Waterman,Republican,District 39,1595
Clay,State Senator,John M. Waterman,Republican,District 39,1469
Bartholomew,State Senator,Kenn Gividen,Libertarian,District 41,2059
Bartholomew,State Senator,Robert D. Garton,Republican,District 41,13799
Dearborn,State Senator,Daniel  L. Precht,Libertarian,District 43,807
Dearborn,State Senator,Johnny Nugent,Republican,District 43,8092
Clark,State Senator,"James (Jim) A. Lewis, Jr.",Democratic,District 45,8708
Clark,State Senator,Debbie Huber-Harbeson,Libertarian,District 45,1471
Clark,State Senator,Connie Weigleb Sipes,Democratic,District 46,7043
Clark,State Senator,Walter H. Schulz,Republican,District 46,4218
Crawford,State Senator,"Richard D. Young, Jr.",Democratic,District 47,2462
Dubois,State Senator,"Richard D. Young, Jr.",Democratic,District 47,2337
Crawford,State Senator,Christopher L. Byrd,Republican,District 47,1241
Dubois,State Senator,Christopher L. Byrd,Republican,District 47,1574
Daviess,State Senator,Lindel O. Hume,Democratic,District 48,3340
Dubois,State Senator,Lindel O. Hume,Democratic,District 48,3596
Elkhart,State Representative,Craig R. Fry,Democratic,District 5,1282
Elkhart,State Representative,Raymond Crawford,Republican,District 5,759
Benton,State Representative,George Baranowski,Democratic,District 15,992
Benton,State Representative,Don Lehe,Republican,District 15,2025
Cass,State Representative,Michael D. Smith,Republican,District 16,1256
Elkhart,State Representative,Daniel M. Stevens,Libertarian,District 18,235
Elkhart,State Representative,David A. Wolkins,Republican,District 18,2543
Elkhart,State Representative,Richard W. Mangus,Republican,District 21,5746
Elkhart,State Representative,Scott Benson,Libertarian,District 23,107
Elkhart,State Representative,William C. Friend,Republican,District 23,1287
Carroll,State Representative,Richard W. (Rich) McClain,Republican,District 24,5248
Cass,State Representative,Richard W. (Rich) McClain,Republican,District 24,6453
Boone,State Representative,Jeffrey A. Thompson,Republican,District 28,5151
Blackford,State Representative,S. Gopal (Pal) Raju,Democratic,District 31,990
Blackford,State Representative,Dean  A. Young,Republican,District 31,2957
Delaware,State Representative,Ron Liggett,Democratic,District 33,3183
Delaware,State Representative,Richard W. Thornburg,Republican,District 33,2320
Delaware,State Representative,R. Tiny Adams,Democratic,District 34,8134
Delaware,State Representative,Tom L. Bennington,Republican,District 34,5362
Delaware,State Representative,L. Jack Lutz,Republican,District 35,9067
Boone,State Representative,James R. (Jim) Buck,Republican,District 38,1046
Clinton,State Representative,James R. (Jim) Buck,Republican,District 38,5909
Clay,State Representative,Clyde Kersey,Democratic,District 43,416
Clay,State Representative,Ed Gluck,Libertarian,District 43,90
Clay,State Representative,Lana Schimpf,Democratic,District 44,1530
Clay,State Representative,Andrew P. Thomas,Republican,District 44,3065
Daviess,State Representative,Alan B. Chowning,Democratic,District 45,704
Daviess,State Representative,Bruce A. Borders,Republican,District 45,1031
Clay,State Representative,Vern Tincher,Democratic,District 46,809
Clay,State Representative,R. Brooks LaPlante,Republican,District 46,1406
Elkhart,State Representative,Bruce D. Carter,Democratic,District 48,3739
Elkhart,State Representative,Timothy Neese,Republican,District 48,7387
Elkhart,State Representative,John D. Ulmer,Republican,District 49,11354
DeKalb,State Representative,Jeff A. Smith,Libertarian,District 51,1062
DeKalb,State Representative,Dennis K. Kruse,Republican,District 51,4330
DeKalb,State Representative,W. Dale Sturtz,Democratic,District 52,719
DeKalb,State Representative,Marlin A. Stutzman,Republican,District 52,899
Dearborn,State Representative,David L. Nicholson,Democratic,District 55,663
Dearborn,State Representative,Robert Hoffman,Republican,District 55,2302
Bartholomew,State Representative,John R. Wheeler,Democratic,District 57,2131
Bartholomew,State Representative,Thomas (Thom) Jester,Libertarian,District 57,310
Bartholomew,State Representative,Roland Stine,Republican,District 57,3060
Bartholomew,State Representative,Mark Duwe,Democratic,District 59,2401
Bartholomew,State Representative,David Yount,Republican,District 59,7118
Brown,State Representative,Peggy Welch,Democratic,District 60,197
Brown,State Representative,Jim Billingsley,Libertarian,District 60,20
Brown,State Representative,L. David Sabbagh,Republican,District 60,139
Dubois,State Representative,Dave Crooks,Democratic,District 63,3432
Daviess,State Representative,Dave Crooks,Democratic,District 63,3704
Daviess,State Representative,John Gregory Frenz,Democratic,District 64,134
Daviess,State Representative,Eric Davis,Republican,District 64,231
Bartholomew,State Representative,David Rhum,Democratic,District 65,976
Brown,State Representative,David Rhum,Democratic,District 65,2159
Brown,State Representative,Eric Allan Koch,Republican,District 65,2928
